Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
leningradskiy,ru,69.38,178.42,-12.55,96.0,98.0,4.12
aykhal,ru,66.0,111.5,-27.4,74.0,100.0,6.71
cururupu,br,-1.83,-44.87,75.2,96.0,98.0,2.21
kudat,my,6.88,116.85,82.4,88.0,75.0,4.7
rocky mountain house,ca,52.37,-114.92,25.3,85.0,0.0,2.73
ilhabela,br,-23.78,-45.36,74.57,76.0,0.0,8.1
waw,sd,,,,,,
ayagoz,kz,47.97,80.44,22.37,95.0,100.0,10.6
kazerun,ir,29.62,51.65,41.13,87.0,100.0,6.02
saint-joseph,re,-21.37,55.62,73.4,78.0,75.0,9.17
madera,us,37.17,-119.83,60.8,67.0,1.0,4.7
portlethen,gb,57.05,-2.13,44.01,87.0,90.0,13.87
port hedland,au,-20.32,118.57,102.2,18.0,0.0,10.29
carutapera,br,-1.2,-46.02,82.24,81.0,100.0,19.93
coquimbo,cl,-29.95,-71.34,64.4,88.0,0.0,8.05
vaasa,fi,63.08,21.67,30.2,92.0,90.0,6.93
santa marta,co,11.24,-74.2,82.4,65.0,40.0,13.87
warqla,dz,,,,,,
porto novo,cv,17.02,-25.06,69.8,88.0,73.0,14.99
sao filipe,cv,14.9,-24.5,73.94,63.0,21.0,18.75
puerto escondido,mx,15.85,-97.07,80.6,74.0,20.0,1.9
kurush,ru,41.28,47.83,21.2,79.0,0.0,6.93
deputatskiy,ru,69.3,139.9,-40.94,100.0,62.0,0.72
tongling,cn,30.95,117.78,41.7,91.0,100.0,8.57
tashara,ru,55.52,83.51,6.06,92.0,100.0,11.63
sao joao da barra,br,-21.64,-41.05,73.27,90.0,100.0,5.39
ambilobe,mg,-13.2,49.05,76.28,89.0,100.0,3.74
nouadhibou,mr,20.93,-17.03,64.4,72.0,100.0,20.8
corinth,us,33.15,-97.06,62.6,63.0,90.0,9.17
sakakah,sa,29.97,40.21,44.6,70.0,75.0,5.39
florianopolis,br,-27.61,-48.5,73.4,83.0,35.0,1.12
aquiraz,br,-3.9,-38.39,86.0,79.0,20.0,8.05
gao,ml,16.64,1.64,68.13,10.0,35.0,10.42
bayan,kw,29.3,48.05,46.4,70.0,0.0,14.99
birobidzhan,ru,48.8,132.95,5.4,76.0,0.0,2.66
tongchuan,cn,35.08,109.09,32.25,84.0,95.0,5.37
fushe-arrez,al,42.06,20.02,42.06,98.0,100.0,3.06
oussouye,sn,12.48,-16.55,75.2,83.0,50.0,6.93
fujin,cn,47.26,132.03,6.1,83.0,66.0,9.62
xiongshi,cn,,,,,,
drochia,md,48.03,27.82,32.99,73.0,86.0,4.72
mizdah,ly,31.45,12.98,58.5,23.0,100.0,9.06
lichinga,mz,-13.31,35.24,67.06,93.0,75.0,2.66
takayama,jp,36.13,137.25,55.0,56.0,20.0,2.24
cienaga,co,11.01,-74.25,82.4,65.0,40.0,13.87
villazon,bo,-22.09,-65.59,53.19,59.0,23.0,7.94
puerto penasco,mx,31.32,-113.53,62.01,79.0,6.0,1.01
san lazaro,py,,,,,,
kenitra,ma,34.26,-6.58,52.0,100.0,75.0,6.93
bulungu,cd,-4.55,18.6,72.7,79.0,80.0,1.25
camacha,pt,33.08,-16.33,60.8,77.0,20.0,9.17
darab,ir,28.75,54.54,43.59,54.0,27.0,1.72
mpika,zm,-11.83,31.45,59.9,96.0,0.0,2.42
yabelo,et,4.88,38.08,65.3,76.0,100.0,8.5
hami,cn,42.8,93.45,11.79,62.0,0.0,1.41
kruisfontein,za,-34.0,24.73,64.71,87.0,89.0,22.73
boke,gn,10.94,-14.3,66.83,87.0,45.0,1.79
zhigansk,ru,66.77,123.37,-32.06,89.0,80.0,12.64
fevralsk,ru,,,,,,
tasbuget,kz,,,,,,
calafat,ro,43.99,22.93,42.96,78.0,0.0,7.29
severnyy,ru,50.68,36.55,33.8,86.0,75.0,17.9
toungoo,mm,,,,,,
alofi,nu,-19.06,-169.92,84.2,79.0,22.0,9.17
ancud,cl,-41.87,-73.82,62.6,82.0,76.0,3.36
mwinilunga,zm,-11.74,24.43,63.66,97.0,100.0,0.54
san agustin acasaguastlan,gt,14.95,-89.97,60.51,92.0,49.0,4.0
tourlaville,fr,49.64,-1.57,46.0,100.0,90.0,11.41
road town,vg,18.42,-64.62,77.0,83.0,20.0,3.36
harper,lr,4.38,-7.72,76.82,96.0,26.0,0.87
peniche,pt,39.36,-9.38,52.0,93.0,20.0,3.36
chifeng,cn,42.27,118.96,26.2,31.0,0.0,4.56
louisbourg,ca,,,,,,
vestmannaeyjar,is,63.44,-20.27,33.46,96.0,100.0,15.32
loukhi,ru,66.08,33.04,7.12,93.0,100.0,4.7
gaoua,bf,10.3,-3.25,70.3,9.0,0.0,7.16
bida,ng,9.08,6.02,66.25,16.0,0.0,3.83
conceicao do araguaia,br,-8.26,-49.26,74.84,95.0,100.0,2.53
chumikan,ru,54.72,135.31,-4.05,73.0,0.0,19.35
el tigre,ve,8.89,-64.25,76.39,68.0,100.0,12.48
san luis,pe,-12.07,-77.0,75.2,78.0,100.0,16.11
gisborne,nz,-38.65,178.0,79.0,70.0,0.0,5.99
college,us,64.86,-147.8,-9.0,74.0,1.0,4.59
gizo,sb,-8.1,156.84,83.55,68.0,31.0,8.46
karlskrona,se,56.16,15.59,41.0,100.0,100.0,8.05
matara,lk,5.95,80.54,78.03,72.0,87.0,6.2
oudtshoorn,za,-33.59,22.2,62.6,100.0,97.0,10.29
alexandria,eg,31.22,29.96,51.8,81.0,40.0,4.7
knoxville,us,35.96,-83.92,41.0,68.0,90.0,5.82
abu dhabi,ae,24.47,54.37,64.4,63.0,0.0,9.17
esmeraldas,ec,-1.87,-79.8,79.0,88.0,75.0,5.82
miyako,jp,39.64,141.95,36.73,41.0,28.0,2.77
jizan,sa,17.33,42.67,71.6,68.0,40.0,2.04
bay city,us,43.59,-83.89,34.0,98.0,90.0,4.7
fuzhou,cn,26.06,119.31,57.2,93.0,75.0,6.71
mount isa,au,-20.73,139.5,77.0,100.0,90.0,8.05
markova,ru,52.21,104.21,3.2,71.0,100.0,8.95
lac du bonnet,ca,50.25,-96.06,23.0,91.0,88.0,3.0
ninh binh,vn,20.25,105.97,57.13,69.0,100.0,14.65
laguna de perlas,ni,12.34,-83.67,79.11,72.0,0.0,17.09
port shepstone,za,-30.74,30.45,69.04,73.0,2.0,3.31
carinhanha,br,-14.3,-43.77,69.55,96.0,100.0,2.55
hamilton,bm,32.29,-64.78,66.2,88.0,75.0,6.93
thanh hoa,vn,19.8,105.77,57.13,69.0,100.0,14.65
magway,mm,20.15,94.92,66.87,38.0,0.0,4.56
nichinan,jp,31.6,131.37,51.8,93.0,75.0,11.41
alausi,ec,-2.2,-78.83,56.91,97.0,100.0,0.87
kazalinsk,kz,,,,,,
dickinson,us,29.46,-95.05,64.4,72.0,90.0,9.17
swan hill,au,-35.34,143.55,90.0,35.0,0.0,10.0
zyryanka,ru,65.75,150.85,-25.98,91.0,100.0,5.64
atar,mr,20.52,-13.05,70.45,24.0,100.0,9.01
riberalta,bo,-10.98,-66.1,76.87,85.0,96.0,1.86
sao felix do xingu,br,-6.64,-51.99,72.57,95.0,100.0,1.21
rio grande,br,-32.03,-52.1,71.01,91.0,83.0,7.47
evanston,us,42.04,-87.69,34.0,86.0,90.0,9.17
evensk,ru,61.95,159.23,15.19,87.0,100.0,21.16
wanning,cn,18.8,110.4,62.89,86.0,100.0,11.99
maraa,br,-1.83,-65.37,76.23,92.0,76.0,2.66
samalaeulu,ws,,,,,,
deer lake,ca,49.17,-57.43,23.0,79.0,75.0,13.87
kisangani,cd,0.52,25.2,68.49,50.0,75.0,0.89
sentyabrskiy,ru,,,,,,
rajsamand,in,25.07,73.88,60.49,41.0,0.0,1.36
dunedin,nz,-45.87,170.5,66.99,65.0,0.0,24.14
masingbi,sl,8.78,-11.95,68.18,97.0,14.0,1.01
zhuanghe,cn,39.7,122.99,52.0,14.0,81.0,1.99
kondinskoye,ru,59.65,67.41,-4.25,98.0,99.0,7.34
neuquen,ar,-38.95,-68.06,86.0,28.0,71.0,14.99
olafsvik,is,64.89,-23.71,31.23,82.0,77.0,15.55
shaoyang,cn,27.23,111.45,40.08,83.0,100.0,5.53
hervey bay,au,-25.3,152.85,89.01,74.0,75.0,11.41
odweyne,so,9.41,45.06,65.93,78.0,99.0,20.47
qui nhon,vn,13.77,109.23,78.33,74.0,73.0,3.83
carlton,gb,54.58,-1.4,44.01,93.0,94.0,9.17
saint-pierre,pm,46.77,-56.17,23.0,85.0,20.0,10.29
manjacaze,mz,-24.71,33.88,70.05,88.0,31.0,4.09
pochutla,mx,15.74,-96.47,80.6,74.0,20.0,6.38
mitu,co,1.2,-70.17,75.96,88.0,85.0,1.61
babanusah,sd,,,,,,
santa maria,cv,16.6,-22.9,69.8,83.0,90.0,16.11
hvammstangi,is,,,,,,
wau,pg,-7.34,146.72,78.26,58.0,36.0,7.52
roma,au,-26.58,148.78,88.02,44.0,83.0,12.75
sonoita,mx,31.85,-112.83,62.01,47.0,19.0,5.46
seymchan,ru,62.88,152.43,-25.19,95.0,100.0,9.64
toktogul,kg,41.87,72.94,17.6,97.0,100.0,0.92
tomelloso,es,39.15,-3.02,39.0,97.0,34.0,4.0
ginir,et,7.13,40.7,60.08,81.0,100.0,0.81
sibolga,id,1.74,98.78,86.38,63.0,0.0,1.19
sorong,id,-0.88,131.25,90.16,58.0,79.0,3.76
saint anthony,ca,,,,,,
yangliuqing,cn,39.14,117.0,30.2,92.0,90.0,4.47
shatsk,ru,54.03,41.71,26.19,87.0,81.0,16.71
patillas,us,,,,,,
abramovka,ru,51.19,41.02,27.93,89.0,56.0,15.08
teruel,es,40.67,-0.67,46.4,100.0,75.0,5.82
smithers,ca,54.78,-127.17,41.0,65.0,40.0,6.93
shenkursk,ru,62.11,42.9,2.12,96.0,100.0,6.46
oliver,ca,49.18,-119.55,37.4,93.0,90.0,0.56
nara,ml,15.17,-7.29,73.83,10.0,100.0,8.48
gat,ly,,,,,,
sisimiut,gl,66.94,-53.67,4.08,94.0,100.0,5.99
vilyuysk,ru,63.76,121.62,-27.17,96.0,93.0,10.42
san giorgio del sannio,it,41.07,14.85,52.0,70.0,75.0,3.36
kintampo,gh,8.06,-1.73,71.71,13.0,0.0,1.97
imperia,it,43.97,7.78,48.2,70.0,20.0,2.62
mehamn,no,71.04,27.85,18.21,76.0,100.0,20.45
